<?xml version="1.0"?>
<!DOCTYPE datafile PUBLIC "-//Logiqx//DTD ROM Management Datafile//EN" "http://www.logiqx.com/Dats/datafile.dtd">

<datafile>
	<header>
		<name>MAME</name>
		<description>MAME 0.97 (Jun 2 2005)</description>
		<category>Emulation</category>
		<version>0.97</version>
		<date>02/06/2005</date>
		<author>AntoPISA</author>
		<email>progettosnaps@gmail.com</email>
		<homepage>http://www.progettosnaps.net/</homepage>
		<url>http://www.progettosnaps.net/dats/MAME/</url>
		<comment>-not specified-</comment>
		<clrmamepro/>
	</header>

	<game name="bayrout1" sourcefile="segas16b.c" cloneof="bayroute" romof="bayroute">
		<description>Bay Route (set 1, US, unprotected)</description>
		<year>1989</year>
		<manufacturer>Sunsoft / Sega</manufacturer>
		<rom name="br.a1" size="65536" crc="76954bf3" sha1="bd617c6ddaf1e7760479b17205388c201fb67662"/>
		<rom name="br.a2" size="65536" crc="5ca1e3d2" sha1="51ce67ed0a0054f9c9c4ac56c5775716c44d74b1"/>
		<rom name="br.a3" size="65536" crc="0d362905" sha1="04cb35aa44cc1d9ead44c5a7b4f838efec453c85"/>
		<rom name="br.a4" size="65536" crc="91c6424b" sha1="79a968ade7690d5944ee815e19586cb82c3aa562"/>
		<rom name="br.a5" size="65536" crc="9d6fd183" sha1="5ae78d33c0e929886d84a25c0fbd62ab45dcbff4"/>
		<rom name="br.a6" size="65536" crc="ed97ad4c" sha1="6c7d671c3046f1adb486f053acdd2be0c981c68b"/>
		<rom name="br.b8" size="65536" crc="d8de78ff" sha1="110661ab8008543b47629722b98d0470f73a48c5"/>
		<rom name="br_obj0e.b5" size="65536" crc="85238af9" sha1="39989a8d9b60c6d55272b5e2c213341a563dd993"/>
		<rom name="br_obj0o.b1" size="65536" crc="098a5e82" sha1="c5922f418773bc3629071e584457839d67a370e9"/>
		<rom name="br_obj1e.b6" size="65536" crc="d3123315" sha1="16a87caed1cabb080d4f35935910b38797344ca5"/>
		<rom name="br_obj1o.b2" size="65536" crc="cc641da1" sha1="28f8a6502702cb9e2cc7f3e98f6c5d201f462fa3"/>
		<rom name="br_obj2e.b7" size="65536" crc="b73b12cb" sha1="e8265ae90aabf1ee0522dbc6541a0f82fec97c7a"/>
		<rom name="br_obj2o.b3" size="65536" crc="84efac1f" sha1="41c43d70dc7ae7e361d6fa12c5790ea7ebf13ca8"/>
		<rom name="br_obj3o.b4" size="65536" crc="a2e238ac" sha1="c854774c0ffd1ccf6e46591a8fa3c80a4630e007"/>
		<rom name="opr12462.a14" merge="opr12462.a14" size="65536" crc="a19943b5" sha1="95cd95223ea76677227b807a7c4eff120e690d37"/>
		<rom name="opr12463.a15" merge="opr12463.a15" size="65536" crc="62f8200d" sha1="a5a0035249f339396b33f8a908d393777e8951c4"/>
		<rom name="opr12464.a16" merge="opr12464.a16" size="65536" crc="c8c59703" sha1="3a4f45b88990d27c55ddfde5fc93496954868200"/>
		<rom name="sound.a10" size="65536" status="nodump"/>
		<rom name="sound.a11" size="65536" status="nodump"/>
		<rom name="sound.a7" size="32768" status="nodump"/>
		<rom name="sound.a8" size="65536" status="nodump"/>
		<rom name="sound.a9" size="65536" status="nodump"/>
	</game>

	<game name="bayroute" sourcefile="segas16b.c">
		<description>Bay Route (set 3, World, FD1094 317-0116)</description>
		<year>1989</year>
		<manufacturer>Sunsoft / Sega</manufacturer>
